year,total_yards_adj,payment_probability,decision_year,k_value,metric_name
0.7692307692307692,1716.6142157785282,0.0,3,5,total_yards_adj
0.7692307692307692,1776.9711481121803,0.0,3,5,total_yards_adj
0.7692307692307692,1837.3280804458325,0.0,3,5,total_yards_adj
0.7692307692307692,1897.6850127794846,0.0,3,5,total_yards_adj
0.7692307692307692,1958.0419451131368,0.0,3,5,total_yards_adj
0.7692307692307692,2018.398877446789,0.0,3,5,total_yards_adj
0.7692307692307692,2078.7558097804413,0.0,3,5,total_yards_adj
0.7692307692307692,2139.112742114093,0.0,3,5,total_yards_adj
0.7692307692307692,2199.4696744477455,0.0,3,5,total_yards_adj
0.7692307692307692,2259.8266067813975,0.0,3,5,total_yards_adj
0.7692307692307692,2320.18353911505,0.0,3,5,total_yards_adj
0.7692307692307692,2380.5404714487017,0.0,3,5,total_yards_adj
0.7692307692307692,2440.897403782354,20.0,3,5,total_yards_adj
0.7692307692307692,2501.254336116006,20.0,3,5,total_yards_adj
0.7692307692307692,2561.6112684496584,20.0,3,5,total_yards_adj
0.7692307692307692,2621.9682007833103,40.0,3,5,total_yards_adj
0.7692307692307692,2682.3251331169627,40.0,3,5,total_yards_adj
0.7692307692307692,2742.6820654506146,40.0,3,5,total_yards_adj
0.7692307692307692,2803.038997784267,40.0,3,5,total_yards_adj
0.7692307692307692,2863.395930117919,40.0,3,5,total_yards_adj
0.7692307692307692,2923.752862451571,60.0,3,5,total_yards_adj
0.7692307692307692,2984.109794785223,40.0,3,5,total_yards_adj
0.7692307692307692,3044.4667271188755,40.0,3,5,total_yards_adj
0.7692307692307692,3104.8236594525274,40.0,3,5,total_yards_adj
0.7692307692307692,3165.18059178618,40.0,3,5,total_yards_adj
0.7692307692307692,3225.5375241198317,20.0,3,5,total_yards_adj
0.7692307692307692,3285.894456453484,20.0,3,5,total_yards_adj
0.7692307692307692,3346.251388787136,40.0,3,5,total_yards_adj
0.7692307692307692,3406.6083211207883,40.0,3,5,total_yards_adj
0.7692307692307692,3466.9652534544402,40.0,3,5,total_yards_adj
0.7692307692307692,3527.3221857880926,40.0,3,5,total_yards_adj
0.7692307692307692,3587.6791181217445,40.0,3,5,total_yards_adj
0.7692307692307692,3648.036050455397,20.0,3,5,total_yards_adj
0.7692307692307692,3708.392982789049,20.0,3,5,total_yards_adj
0.7692307692307692,3768.749915122701,20.0,3,5,total_yards_adj
0.7692307692307692,3829.106847456353,20.0,3,5,total_yards_adj
0.7692307692307692,3889.4637797900054,40.0,3,5,total_yards_adj
0.7692307692307692,3949.820712123658,20.0,3,5,total_yards_adj
0.7692307692307692,4010.1776444573097,20.0,3,5,total_yards_adj
